place,mag,time,felt
"41km SSW of Hualian, Taiwan",4.7,1383234448820,1.32
"46km SSW of Hualian, Taiwan",6.3,1383220928720,1.29
"65km WNW of Tainanshi, Taiwan",4.6,1382919848600,1
"17km SSE of Hualian, Taiwan",4.2,1382862433250,1.11
"87km E of Hengchun, Taiwan",4.2,1382750975600,1.32
"90km ESE of Taitung City, Taiwan",4,1382205543970,0.94
"32km S of Su'ao, Taiwan",4.1,1381821919400,0.75
"8km SW of Keelung, Taiwan",4.4,1381466759040,0.49
"12km S of Buli, Taiwan",4.1,1380542719800,0.45
"40km W of Hengchun, Taiwan",4.2,1380484240090,1.08
"28km NE of Taitung City, Taiwan",4,1378854925350,0.41
"26km WSW of Hengchun, Taiwan",4.4,1378202101130,1.03
"12km SSW of Hengchun, Taiwan",4.3,1377833105650,0.5
"12km SE of Buli, Taiwan",4.2,1377355603470,1.01
"72km E of Hengchun, Taiwan",4.1,1376656560730,0.59
"12km S of Hualian, Taiwan",4.3,1374680472380,0.71
"11km S of Hualian, Taiwan",4.5,1374679933940,0.81
"11km S of Hualian, Taiwan",5,1374677224940,0.63
Taiwan,4.2,1374347986060,0.36
"33km NNW of Hualian, Taiwan",5.2,1373969495280,1.01
"31km NW of Taitung City, Taiwan",4.4,1373829869460,1.01
"25km SE of Buli, Taiwan",6.2,1370151783460,0.66
"68km E of Hengchun, Taiwan",4.7,1370118742800,0.5
"15km SE of Hualian, Taiwan",4.3,1369883681680,1.18
"35km SSW of Su'ao, Taiwan",4.1,1369122032090,
Taiwan,4.5,1369110346200,
Taiwan,4.6,1368769452500,0.09
"80km E of Hengchun, Taiwan",4.5,1366499378740,0.96
Taiwan,4.4,1364355002160,0.9
"29km ESE of Buli, Taiwan",5.9,1364349799820,0.98
Taiwan,4.2,1363764121450,1.11
Taiwan,4.6,1363528400120,0.59
Taiwan,4.4,1363079025700,
"40km NNW of Hualian, Taiwan",4.4,1362643641970,1.23
Taiwan,4.2,1362643034810,0.98
"36km NNW of Hualian, Taiwan",5.5,1362627406090,
"33km ENE of Taitung City, Taiwan",4.3,1362386541620,1.13
"32km N of Hualian, Taiwan",4.7,1361471757040,0.83
"38km NNW of Hualian, Taiwan",4.3,1361471588000,1.07
"61km NE of Taitung City, Taiwan",4,1361373627270,1.25
Taiwan,4.4,1361256760360,0.75
"18km SE of Jiayi Shi, Taiwan",4.5,1361239965900,
"36km NNW of Hualian, Taiwan",4.7,1361064727680,0.96
"14km NNW of Hualian, Taiwan",4.1,1360151898500,
"43km ESE of Hualian, Taiwan",5.2,1359776392450,0.71
Taiwan region,4.9,1358411441920,0.84
"11km E of Hualian, Taiwan",4.6,1357236484910,1.07
Taiwan,4.4,1357128107130,1.03
Taiwan,4.5,1356940303690,1.21
Taiwan,4.8,1356883406250,0.95
Taiwan,4.5,1356779186930,0.46
Taiwan region,4.2,1356319071900,
Taiwan,4.6,1356243185330,0.85
Taiwan region,4.4,1356146674170,1
Taiwan,4.4,1355221924000,0.74
Taiwan,4.9,1354477410370,0.97
Taiwan,5,1354470337180,0.94
Taiwan region,4.5,1354158771780,0.96
Taiwan region,5.2,1353431339790,0.99
Taiwan region,4.3,1352577557280,1.38
Taiwan,4.3,1352122829020,1.17
Taiwan,4.5,1351929989900,
Taiwan,5,1351161079180,0.79
Taiwan,4.3,1350111636370,0.95
Taiwan region,4.5,1348523855550,1.31
Taiwan region,5,1346788817530,0.9
Taiwan,4.8,1346415836300,1.14
Taiwan,4.6,1346415103510,1.12
Taiwan region,4.4,1346250253750,1.01
Taiwan,4.7,1345234801970,0.92
Taiwan,4.6,1345138862550,1.04
Taiwan,4.6,1344941743130,0.87
Taiwan region,4.5,1342555129050,0.66
Taiwan,4.4,1339924177190,0.82
Taiwan,4.6,1339924073240,0.94
Taiwan,5,1339923712450,0.86
Taiwan,4.5,1339702257330,1.19
Taiwan,4.4,1339698359740,0.98
Taiwan,5.2,1339690513630,0.9
Taiwan,4.4,1339646879900,
Taiwan,4.5,1339575741160,1.06
Taiwan,4.6,1339309409040,0.76
Taiwan,4.5,1339216879940,0.95
Taiwan region,4.6,1338968930880,1.25
Taiwan region,4.6,1338949440790,
Taiwan region,4.5,1338948556900,
Taiwan region,4.7,1338945044900,
Taiwan region,5.5,1338944915520,1.13
Taiwan,4.4,1338362743260,0.97
Taiwan,4.4,1335538114590,
Taiwan,5,1334800688600,
Taiwan,4.2,1334227165510,1.24
Taiwan region,4.3,1334155583990,1.13
Taiwan,4.5,1333828757150,0.93
Taiwan,4.4,1332601381650,0.81
